LotNrRel;Allocate;EstValue;StartPrice;LotsSale;LotsSaleMain;LotsSaleSub;Weekday;SP.EV;yData
0.3263598326359833;0;875.0;350.0;976;441;68;2;0.4;1.0
0.9435146443514644;0;550.0;200.0;976;255;184;2;0.3636363636363637;1.0
0.669452181987001;0;200.0;125.0;3106;814;461;2;0.625;1.0
0.16079295154185022;0;1000.0;200.0;364;261;19;2;0.2;1.0
0.021496815286624203;0;200.0;50.0;1177;436;16;3;0.25;1.0
0.2800608828006088;0;250.0;150.0;631;170;32;2;0.6;1.0
0.15023255813953487;0;1500.0;650.0;2165;257;58;2;0.43333333333333335;1.0
0.04784688995215311;1;700.0;560.0;295;99;7;1;0.8;0.0
0.051686784277313526;0;300.0;150.0;3106;814;27;2;0.5;1.0
0.28634361233480177;0;9860.0;4000.0;364;261;21;2;0.4056795131845842;1.0
0.9016736401673641;0;800.0;300.0;976;255;184;2;0.375;1.0
0.22137404580152675;0;275.0;175.0;784;206;21;3;0.6363636363636364;1.0
0.27490542244640603;0;200.0;100.0;1411;297;9;2;0.5;1.0
0.4806629834254144;0;400.0;250.0;183;181;18;1;0.625;1.0
0.9958419958419958;0;500.0;225.0;249;240;19;2;0.45;1.0
0.7562814070351759;0;700.0;500.0;460;249;44;4;0.7142857142857143;1.0
0.5549295774647888;0;1800.0;750.0;210;163;21;2;0.4166666666666667;1.0
0.969558599695586;0;300.0;150.0;631;20;15;2;0.5;1.0
0.2619426751592357;0;450.0;350.0;1177;436;5;3;0.7777777777777778;1.0
0.07069767441860465;0;250.0;150.0;2165;46;9;2;0.6;1.0
0.0939470365699874;0;600.0;300.0;1411;56;3;2;0.5;1.0
0.12555066079295155;1;3000.0;1250.0;364;261;19;2;0.4166666666666667;0.0
0.8767123287671232;0;2500.0;1750.0;631;170;15;2;0.7;1.0
0.4327464788732394;0;200.0;100.0;2843;1605;104;2;0.5;1.0
0.5352112676056338;0;1000.0;250.0;143;117;40;1;0.25;1.0
0.7887323943661971;1;4000.0;1750.0;143;117;21;1;0.4375;0.0
0.13395348837209306;0;400.0;250.0;2165;174;10;2;0.625;1.0
0.9486081370449678;0;600.0;300.0;462;85;11;2;0.5;1.0
0.9657387580299786;1;14000.0;7500.0;462;23;1;2;0.5357142857142857;1.0
0.904463040446304;0;750.0;250.0;976;255;184;2;0.3333333333333333;1.0
0.4911894273127753;1;841.0;350.0;364;261;58;2;0.4161712247324614;0.0
0.7473363774733638;0;250.0;150.0;631;312;84;2;0.6;1.0
0.14414414414414414;0;200.0;80.0;161;118;24;4;0.4;1.0
0.4436619718309859;1;7000.0;750.0;285;209;37;2;0.10714285714285714;0.0
0.19597989949748745;0;450.0;300.0;460;140;52;4;0.6666666666666666;1.0
0.2202643171806168;0;11600.0;4500.0;364;261;27;2;0.3879310344827586;1.0
0.12681912681912685;0;250.0;125.0;249;240;7;2;0.5;1.0
0.4052863436123348;1;14500.0;6000.0;364;261;58;2;0.4137931034482759;0.0
0.4190140845070423;0;1750.0;750.0;285;209;66;2;0.42857142857142855;1.0
0.198047419804742;0;3770.0;1750.0;976;441;5;2;0.4641909814323608;1.0
0.471830985915493;0;1000.0;300.0;143;117;40;1;0.3;1.0
0.8626760563380281;0;200.0;25.0;285;26;17;2;0.125;1.0
0.27889447236180903;0;500.0;375.0;460;140;52;4;0.75;1.0
0.09771309771309772;1;5000.0;2000.0;249;240;5;2;0.4;1.0
0.016094088517486844;0;1500.0;500.0;3106;231;25;2;0.3333333333333333;1.0
0.005917159763313609;0;5000.0;2500.0;563;201;19;4;0.5;1.0
0.6299595141700405;0;400.0;300.0;1166;139;65;2;0.75;1.0
0.09554140127388536;0;500.0;300.0;1177;153;46;3;0.6;1.0
0.7311557788944724;0;700.0;500.0;460;249;44;4;0.7142857142857143;1.0
0.31690140845070425;1;5500.0;2000.0;143;18;15;1;0.3636363636363637;0.0
0.9042253521126759;1;1750.0;750.0;210;15;3;2;0.42857142857142855;0.0
0.2649930264993027;0;900.0;500.0;976;441;53;2;0.5555555555555556;1.0
0.8083700440528634;0;290.0;150.0;364;16;4;2;0.5172413793103449;1.0
0.08405797101449275;0;200.0;100.0;347;91;8;2;0.5;1.0
0.010706638115631693;0;350.0;250.0;462;212;86;2;0.7142857142857143;1.0
0.03943661971830986;0;600.0;250.0;2843;351;145;2;0.4166666666666667;1.0
0.0028985507246376808;0;2000.0;1000.0;347;19;5;2;0.5;1.0
0.9823788546255506;0;1160.0;500.0;364;19;19;2;0.4310344827586207;1.0
0.7900552486187845;0;250.0;150.0;183;181;18;1;0.6;1.0
0.2122905027932961;0;3000.0;2000.0;169;46;42;3;0.6666666666666666;1.0
0.07484407484407485;0;5000.0;250.0;249;240;39;2;0.05;1.0
1.0;0;4750.0;3750.0;721;40;1;2;0.7894736842105263;1.0
0.2691771269177127;0;1600.0;700.0;976;441;53;2;0.4375;1.0
0.10801609408851748;0;200.0;150.0;3106;814;33;2;0.75;1.0
0.1282051282051282;0;200.0;125.0;579;348;17;4;0.625;1.0
0.5633802816901409;0;290.0;125.0;210;163;21;2;0.4310344827586207;1.0
0.5859154929577465;1;2100.0;300.0;210;163;21;2;0.14285714285714285;0.0
0.24407252440725244;1;7500.0;1000.0;976;441;53;2;0.13333333333333333;0.0
0.6929577464788732;1;1100.0;400.0;210;163;16;2;0.3636363636363637;0.0
0.0041841004184100415;1;7500.0;3000.0;976;441;29;2;0.4;0.0
0.9464788732394366;0;200.0;100.0;2843;357;18;2;0.5;1.0
0.00875796178343949;0;500.0;300.0;1177;436;8;3;0.6;1.0
0.8312412831241283;1;4000.0;1000.0;976;135;101;2;0.25;0.0
0.18618618618618613;0;500.0;10.0;161;118;12;4;0.02;1.0
0.13458856345885634;0;600.0;200.0;976;441;47;2;0.3333333333333333;1.0
0.2615062761506276;0;1000.0;400.0;976;441;53;2;0.4;1.0
0.2803347280334728;0;750.0;200.0;976;441;53;2;0.26666666666666666;1.0
0.3978873239436621;0;500.0;100.0;285;209;66;2;0.2;1.0
0.3135464231354642;0;250.0;150.0;631;170;32;2;0.6;1.0
0.2699652777777778;0;200.0;150.0;1079;42;6;1;0.75;1.0
0.007428040854224698;0;5000.0;1500.0;3106;231;6;2;0.3;1.0
0.8876760563380282;0;300.0;150.0;2843;92;45;2;0.5;1.0
0.11965811965811965;0;225.0;150.0;579;348;17;4;0.6666666666666666;1.0
0.1013215859030837;0;986.0;450.0;364;261;12;2;0.4563894523326572;1.0
0.8172942817294282;0;400.0;50.0;976;135;101;2;0.125;1.0
0.3079541937480656;0;800.0;400.0;3106;814;33;2;0.5;1.0
0.1813380281690141;0;500.0;350.0;2843;376;17;2;0.7;1.0
0.07758620689655173;0;3500.0;2250.0;116;84;35;1;0.6428571428571429;1.0
0.3576744186046512;0;600.0;300.0;2165;257;18;2;0.5;1.0
0.5577464788732395;1;1800.0;350.0;210;163;21;2;0.19444444444444445;0.0
0.6301454658000619;0;200.0;100.0;3106;814;82;2;0.5;1.0
0.589041095890411;0;300.0;150.0;631;170;21;2;0.5;1.0
0.0018570102135561746;0;8000.0;6000.0;3106;231;20;2;0.75;1.0
0.19595536959553692;0;2000.0;500.0;976;441;5;2;0.25;1.0
0.19119718309859154;0;1200.0;850.0;2843;376;51;2;0.7083333333333334;1.0
0.017253521126760558;0;1500.0;800.0;2843;357;13;2;0.5333333333333333;1.0
0.16186046511627908;0;200.0;50.0;2165;257;10;2;0.25;1.0
0.6381156316916489;0;200.0;100.0;462;212;86;2;0.5;1.0
0.12359154929577465;0;200.0;100.0;2843;357;117;2;0.5;1.0
0.4045226130653266;0;450.0;300.0;460;140;33;4;0.6666666666666666;1.0
0.5830985915492958;0;650.0;250.0;210;163;21;2;0.38461538461538464;1.0
0.7506234413965087;0;1000.0;350.0;326;23;12;3;0.35;1.0
0.7761506276150628;0;390.0;75.0;976;135;101;2;0.19230769230769232;1.0
0.2278169014084507;0;300.0;150.0;2843;92;45;2;0.5;1.0
0.2753303964757709;0;14500.0;6000.0;364;261;21;2;0.4137931034482759;1.0
0.4140845070422535;1;1300.0;1250.0;210;163;15;2;0.9615384615384616;0.0
0.5380281690140845;0;2250.0;40.0;210;163;15;2;0.017777777777777778;1.0
0.009009009009009007;0;500.0;175.0;161;118;24;4;0.35;1.0
0.6122733612273361;0;1000.0;250.0;976;135;7;2;0.25;1.0
0.1921921921921922;0;250.0;90.0;161;6;6;4;0.36;1.0
0.13598326359832635;0;400.0;200.0;976;441;47;2;0.5;1.0
0.19401408450704224;0;400.0;275.0;2843;376;51;2;0.6875;1.0
0.0634478489631693;0;250.0;150.0;3106;231;66;2;0.6;1.0
0.21958174904942965;0;400.0;250.0;990;396;105;1;0.625;1.0
0.2186046511627907;0;1500.0;800.0;2165;257;58;2;0.5333333333333333;1.0
